Method,Name,Error,Occurrences
GET,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/introduction-block,Expected a (200) but got a (502) back when getting page: /questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/introduction-block,5
GET,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block383,Expected a (200) but got a (502) back when getting page: /questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block383,1
GET,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block380,Expected a (200) but got a (502) back when getting page: /questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block380,3
GET,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4953,Expected a (200) but got a (502) back when getting page: /questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4953,2
GET,/questionnaire/benchmark/test_business/view-submission,Expected a (200) but got a (502) back when getting page: /questionnaire/benchmark/test_business/view-submission,4
GET,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/group91,Expected a (200) but got a (502) back when getting page: /questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/group91,3
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block380,"Expected a (302) but got a (502) back when posting page: /questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block380 with data: {'answerfrom-day': 1, 'answerfrom-month': 5, 'answerfrom-year': 2019, 'answerto-day': 1, 'answerto-month': 8, 'answerto-year': 2019, 'csrf_token': 'ImY5ZWNjMGM4NDgxNjliZjFlOTI1OWJmZWY1NzQ0ZGU5NThlZGQ4MWYi.YqNaDQ.2hJJSD2XXfYmVsHoL5yR9xgsfCA'}",1
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block381,"Expected a (302) but got a (502) back when posting page: /questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block381 with data: {'answer436': 100, 'answer437': 100, 'csrf_token': 'IjQ3ZTNkMmJkZjZiOWIwZWEzNjdjY2FlNzViNWEwYWZjZjY1MDNiNGEi.YqNZtg.ppIV2fMObOepZX-KLli9Xld0GeE'}",1
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4953,"Expected a (302) but got a (502) back when posting page: /questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4953 with data: {'answer6288': 'One-off increase in stocks', 'csrf_token': 'ImQxZTZiZmFlOWFkZDFiYzk5Y2JmNTg0MTg2Y2RmY2VjNzc3NWE3NGQi.YqNZtQ.P7Hgx-ZBiu67UT0RFcaLcf3Q24g'}",1
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block381,"Expected a (302) but got a (502) back when posting page: /questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block381 with data: {'answer436': 100, 'answer437': 100, 'csrf_token': 'IjI2MmNiYWYwY2NmZjJiYmNiMGQ4MGJjZmNmNDIzOWY1YzdmMWM1ODUi.YqNaGA.YL_s2BjJhLvPVbOKEk3wmPpdTuE'}",1
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/introduction-block,Expected a (302) but got a (502) back when posting page: /questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/introduction-block with data: {'csrf_token': 'IjUyNDFmNmYyNTk0Njc4ZjljYzgwOTIwZmI1Y2EyNmU3NTFiZDE5ZDEi.YqNZeg.s6yGPeLbvFyaDbCPm4WpLQ6Sb-U'},1
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/group91,"Expected a (302) but got a (502) back when posting page: /questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/group91 with data: {'answer434': 'No', 'csrf_token': 'IjExNzJiMzI2ZmJjNjJmZTEyMTdkMGU1NmRiNDU4MDcyYzI0ODFlZDYi.YqNaDQ.U6qm0U4omh0SV8iO6BtS-OZZPM8'}",1
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/introduction-block,Expected a (302) but got a (502) back when posting page: /questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/introduction-block with data: {'csrf_token': 'IjI1MDgzZDk4OWE3YTNlYTJmMDI2MTUxMWE2OWYwMWRmNWFhZjI4ZDci.YqNaQQ.nTKJwH486D4-pjRD64ZK-fMCgLg'},1
POST,/questionnaire/benchmark/test_business/benchmark123/confirmation-group/0/confirmation,Expected a (302) but got a (502) back when posting page: /questionnaire/benchmark/test_business/benchmark123/confirmation-group/0/confirmation with data: {'csrf_token': 'IjMzZGJlZDBhNTQ3MDdiNDg3M2MzZmQyNTUyZTU0NmExOGFlZDJmM2Ui.YqNZhA.VpnWCooaKtD9IFxY-R-Si7RTrds'},1
GET,/questionnaire/benchmark/test_business/thank-you,Expected a (200) but got a (502) back when getting page: /questionnaire/benchmark/test_business/thank-you,1
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4616,"Expected a (302) but got a (502) back when posting page: /questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4616 with data: {'answer5873': 'Yes', 'csrf_token': 'ImFmZTg5MmM5OTg2MzM3YzQ2MWE5ODUwM2MyY2ZlNjg3OGM0OTk3YmYi.YqNaUg.Xf3i9xAz6SVX_2boJW5CE1SIMYo'}",1
POST,/questionnaire/benchmark/test_business/benchmark123/confirmation-group/0/confirmation,Expected a (302) but got a (502) back when posting page: /questionnaire/benchmark/test_business/benchmark123/confirmation-group/0/confirmation with data: {'csrf_token': 'IjY2OWQ3MGM3ODYyNTRiMjNmZjA3N2FjNmUyMzZmZDMzZjI2N2IwZjEi.YqNaPg.LldSrRMqzNTFw3VHJmfT_qaudRA'},1
POST,/questionnaire/benchmark/test_business/benchmark123/confirmation-group/0/confirmation,Expected a (302) but got a (502) back when posting page: /questionnaire/benchmark/test_business/benchmark123/confirmation-group/0/confirmation with data: {'csrf_token': 'IjMxNTVkMmNlNDMyZDIwY2Y2ODg5MjUwMWFkNjFmZDA2NmIzYWVlNTQi.YqNZ1w.g3AEdzQQyjI3Bcct8EyzT-80VtM'},1
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4952,"Expected a (302) but got a (502) back when posting page: /questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4952 with data: {'answer6287': 'Yes', 'csrf_token': 'IjJhYTQ0ZTYwOTIyZDc5ZTI0NjkyZGU1MjMxMDRkYzhlNzU1NjcxNzki.YqNZsQ.Y6oiXofhdVUErJAJD3-qHE1NIWw'}",1
POST,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/group91,"Expected a (302) but got a (502) back when posting page: /questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/group91 with data: {'answer434': 'No', 'csrf_token': 'IjJmYmU5ZTA4ZGFmZTAwNzUyZjU4Y2Y5YTNkYjhlY2RkMjVhMzI5MTYi.YqNZeA.ENXo1Muxvtk2jlo2yDV2CnrMB3U'}",1
GET,/questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4952,Expected a (200) but got a (502) back when getting page: /questionnaire/benchmark/test_business/benchmark123/groupquestionnaire-introduction/0/block4952,1
